RK,Player,Team,Position,AVG,Min,Max
382,Jashaun Corbin,NYG ,RB,289.0,289.0,289.0
383,Malik Willis,TEN ,QB,341.5,303.0,380.0
384,Darrynton Evans,CHI ,RB,358.6666666666667,312.0,388.0
385,Tristan Vizcaino,NE ,K,294.0,294.0,294.0
386,Rico Dowdle,DAL ,RB,296.0,296.0,296.0
387,Jake Ferguson,DAL ,TE,345.0,319.0,371.0
388,Kene Nwangwu,MIN ,RB,346.0,321.0,371.0
389,Kevin Harris,NE ,RB,346.0,329.0,363.0
390,Kylin Hill,GB ,RB,346.0,335.0,357.0
391,Quinn Nordin,FA ,K,300.0,300.0,300.0
392,Austin Seibert,DET ,K,301.0,301.0,301.0
393,James Washington,DAL ,WR,348.0,339.0,357.0
394,Zach Pascal,PHI ,WR,304.0,304.0,304.0
395,Ihmir Smith-Marsette,MIN ,WR,349.0,325.0,373.0
396,Anthony Schwartz,CLE ,WR,349.0,327.0,371.0
397,Jeremy Ruckert,NYJ ,TE,363.6666666666667,350.0,372.0
398,Julius Chestnut,TEN ,RB,350.5,348.0,353.0
399,Sam Darnold,CAR ,QB,310.0,310.0,310.0
400,Ty Chandler,MIN ,RB,313.0,313.0,313.0
401,Cole Beasley,FA ,WR,353.5,338.0,369.0
402,DeeJay Dallas,SEA ,RB,358.0,329.0,387.0
403,Craig Reynolds,DET ,RB,371.0,360.0,388.0
404,Tony Jones Jr.,NO ,RB,330.0,330.0,330.0
405,Olamide Zaccheaus,ATL ,WR,331.0,331.0,331.0
406,Samori Toure,GB ,WR,331.0,331.0,331.0
407,Mike Boone,DEN ,RB,335.0,335.0,335.0
408,Jeremy McNichols,PIT ,RB,336.0,336.0,336.0
409,Antonio Brown,FA ,WR,337.0,337.0,337.0
410,Ben Skowronek,LAR ,WR,338.0,338.0,338.0
411,N'Keal Harry,CHI ,WR,340.0,340.0,340.0
412,Carlos Hyde,FA ,RB,342.0,342.0,342.0
413,Derrick Gore,KC ,RB,368.0,361.0,375.0
414,Taysom Hill,NO ,TE,345.0,345.0,345.0
415,Jordan Akins,NYG ,TE,345.0,345.0,345.0
416,Kennedy Brooks,PHI ,RB,347.0,347.0,347.0
417,Will Dissly,SEA ,TE,348.0,348.0,348.0
418,Geoff Swaim,,TEN TE,349.0,349.0,349.0
419,D'Vonte Price,IND ,RB,350.0,350.0,350.0
420,Ian Thomas,CAR ,TE,351.0,351.0,351.0
421,Emmanuel Sanders,FA ,WR,354.0,354.0,354.0
422,Anthony McFarland Jr.,PIT ,RB,355.0,355.0,355.0
423,Seth Williams,DEN ,WR,356.0,356.0,356.0
424,Trent Sherfield,MIA ,WR,357.0,357.0,357.0
425,Jordan Mason,SF ,RB,359.0,359.0,359.0
426,Jared Cook,FA ,TE,360.0,360.0,360.0
427,Justice Hill,BAL ,RB,360.0,360.0,360.0
